upgradesystem_begin	upgrade_id=1	upgrade_item={91244;5}	material_items={{1459;200}}	commission=2000000	result_item={91245;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10006	upgrade_item={71190;7}	material_items={{71212;2}}	commission=7777	result_item={71199;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10007	upgrade_item={71191;7}	material_items={{71212;2}}	commission=7777	result_item={71200;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10008	upgrade_item={71192;7}	material_items={{71212;2}}	commission=7777	result_item={71201;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10009	upgrade_item={71193;7}	material_items={{71212;7}}	commission=7777	result_item={71202;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10010	upgrade_item={71194;7}	material_items={{71212;7}}	commission=7777	result_item={71203;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10011	upgrade_item={71195;7}	material_items={{71212;5}}	commission=7777	result_item={71204;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10012	upgrade_item={71196;7}	material_items={{71212;5}}	commission=7777	result_item={71205;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10013	upgrade_item={71197;7}	material_items={{71212;5}}	commission=7777	result_item={71206;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10014	upgrade_item={71198;7}	material_items={{71212;5}}	commission=7777	result_item={71207;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10015	upgrade_item={71199;7}	material_items={{71212;5}}	commission=7777	result_item={71208;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10016	upgrade_item={71200;7}	material_items={{71212;5}}	commission=7777	result_item={71209;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10017	upgrade_item={71201;7}	material_items={{71212;5}}	commission=7777	result_item={71210;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10018	upgrade_item={71691;5}	material_items={}	commission=12000000	result_item={71692;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10019	upgrade_item={71692;5}	material_items={{71699;3}}	commission=16000000	result_item={71693;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10020	upgrade_item={71693;5}	material_items={{71699;20}}	commission=50000000	result_item={71694;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10021	upgrade_item={71695;5}	material_items={}	commission=12000000	result_item={71696;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10022	upgrade_item={71696;5}	material_items={{71699;3}}	commission=16000000	result_item={71697;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10023	upgrade_item={71697;5}	material_items={{71699;20}}	commission=50000000	result_item={71698;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10024	upgrade_item={29706;10}	material_items={{71699;20}}	commission=1000	result_item={71693;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10025	upgrade_item={29707;10}	material_items={{71699;7}}	commission=1000	result_item={71693;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10026	upgrade_item={29708;10}	material_items={{71699;40}}	commission=1000	result_item={71694;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10027	upgrade_item={29711;10}	material_items={{71699;20}}	commission=1000	result_item={71697;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10028	upgrade_item={29712;10}	material_items={{71699;7}}	commission=1000	result_item={71697;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10029	upgrade_item={29713;10}	material_items={{71699;40}}	commission=1000	result_item={71698;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10030	upgrade_item={70294;7}	material_items={{71752;10}}	commission=10000	result_item={71743;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10031	upgrade_item={70295;7}	material_items={{71752;30}}	commission=10000	result_item={71744;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10032	upgrade_item={70296;7}	material_items={{71752;45}}	commission=10000	result_item={71745;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10033	upgrade_item={70297;7}	material_items={{71752;50}}	commission=10000	result_item={71746;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10034	upgrade_item={70298;7}	material_items={{71752;110}}	commission=10000	result_item={71747;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10035	upgrade_item={70294;8}	material_items={{71752;20}}	commission=10000	result_item={71744;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10036	upgrade_item={70295;8}	material_items={{71752;40}}	commission=10000	result_item={71745;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10037	upgrade_item={70296;8}	material_items={{71752;75}}	commission=10000	result_item={71746;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10038	upgrade_item={70297;8}	material_items={{71752;120}}	commission=10000	result_item={71747;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10039	upgrade_item={70298;8}	material_items={{71752;140}}	commission=10000	result_item={71748;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10040	upgrade_item={70294;9}	material_items={{71752;30}}	commission=10000	result_item={71745;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10041	upgrade_item={70295;9}	material_items={{71752;70}}	commission=10000	result_item={71746;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10042	upgrade_item={70296;9}	material_items={{71752;160}}	commission=10000	result_item={71747;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10043	upgrade_item={70297;9}	material_items={{71752;170}}	commission=10000	result_item={71748;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10044	upgrade_item={70298;9}	material_items={{71752;190}}	commission=10000	result_item={71749;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10045	upgrade_item={70294;10}	material_items={{71752;30}}	commission=10000	result_item={71746;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10046	upgrade_item={70295;10}	material_items={{71752;130}}	commission=10000	result_item={71747;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10047	upgrade_item={70296;10}	material_items={{71752;150}}	commission=10000	result_item={71748;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10048	upgrade_item={70297;10}	material_items={{71752;160}}	commission=10000	result_item={71749;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10049	upgrade_item={70298;10}	material_items={{71752;200}}	commission=10000	result_item={71750;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10050	upgrade_item={78708;7}	material_items={{78734;3}}	commission=7777	result_item={78716;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10051	upgrade_item={78709;7}	material_items={{78734;3}}	commission=7777	result_item={78717;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10052	upgrade_item={78710;7}	material_items={{78734;2}}	commission=7777	result_item={78718;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10053	upgrade_item={78711;7}	material_items={{78734;2}}	commission=7777	result_item={78719;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10054	upgrade_item={78712;7}	material_items={{78734;2}}	commission=7777	result_item={78720;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10055	upgrade_item={78713;7}	material_items={{78734;2}}	commission=7777	result_item={78721;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10056	upgrade_item={78714;7}	material_items={{78734;2}}	commission=7777	result_item={78722;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10057	upgrade_item={78715;7}	material_items={{78734;2}}	commission=7777	result_item={78723;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10058	upgrade_item={78716;7}	material_items={{78734;7}}	commission=7777	result_item={78724;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10059	upgrade_item={78717;7}	material_items={{78734;7}}	commission=7777	result_item={78725;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10060	upgrade_item={78718;7}	material_items={{78734;5}}	commission=7777	result_item={78726;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10061	upgrade_item={78719;7}	material_items={{78734;5}}	commission=7777	result_item={78727;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10062	upgrade_item={78720;7}	material_items={{78734;5}}	commission=7777	result_item={78728;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10063	upgrade_item={78721;7}	material_items={{78734;5}}	commission=7777	result_item={78729;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10064	upgrade_item={78722;7}	material_items={{78734;5}}	commission=7777	result_item={78730;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10065	upgrade_item={78723;7}	material_items={{78734;5}}	commission=7777	result_item={78731;0}	applycountry={kr;j}	upgradesystem_end
