MinimapRegion_begin	regionid=1	IconTexNormal=[L2WorldMap.WorldIcon.16_25_C0]	IconTexOver=[L2WorldMap.WorldIcon.16_25_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.16_25_C0_a]	WorldLocX=-119676	WorldLocY=225465	Width=64	Height=64	DescOffsetX=-4	DescOffsetY=30	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=12	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-102490	WorldLocY=256640	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={0;2;3;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=13	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-107885	WorldLocY=225465	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=155	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-95895	WorldLocY=247448	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=14	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-76710	WorldLocY=254842	Width=0	Height=0	DescOffsetX=-4	DescOffsetY=30	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=15	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-71914	WorldLocY=-120658	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=16	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-55927	WorldLocY=-112264	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;4}	MinimapRegion_end
MinimapRegion_begin	regionid=17	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-40939	WorldLocY=-117460	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=18	IconTexNormal=[L2WorldMap.WorldIcon.18_19_C0]	IconTexOver=[L2WorldMap.WorldIcon.18_19_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.18_19_C0_a]	WorldLocX=-51530	WorldLocY=43411	Width=64	Height=64	DescOffsetX=-42	DescOffsetY=46	DescFontName=[MapFontSize10]	applycountry={0;2;3;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=21	IconTexNormal=[L2WorldMap.WorldIcon.18_20_C0]	IconTexOver=[L2WorldMap.WorldIcon.18_20_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.18_20_C0_a]	WorldLocX=-47134	WorldLocY=70389	Width=0	Height=0	DescOffsetX=552	DescOffsetY=1718	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=22	IconTexNormal=[L2WorldMap.WorldIcon.19_22_0]	IconTexOver=[L2WorldMap.WorldIcon.19_22_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_22_0_a]	WorldLocX=-52330	WorldLocY=106161	Width=64	Height=56	DescOffsetX=1	DescOffsetY=47	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=23	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-65919	WorldLocY=127744	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=24	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-51930	WorldLocY=143131	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=25	IconTexNormal=[L2WorldMap.WorldIcon.18_23_0]	IconTexOver=[L2WorldMap.WorldIcon.18_23_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.18_23_0_a]	WorldLocX=-59124	WorldLocY=179103	Width=64	Height=55	DescOffsetX=-1	DescOffsetY=32	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=26	IconTexNormal=[L2WorldMap.WorldIcon.18_24_camp]	IconTexOver=[L2WorldMap.WorldIcon.18_24_camp_a]	IconTexPushed=[L2WorldMap.WorldIcon.18_24_camp_a]	WorldLocX=-55727	WorldLocY=203883	Width=64	Height=59	DescOffsetX=-30	DescOffsetY=28	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=27	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-30547	WorldLocY=-131449	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=28	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-11562	WorldLocY=-91681	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=29	IconTexNormal=[L2WorldMap.WorldIcon.19_18_0]	IconTexOver=[L2WorldMap.WorldIcon.19_18_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_18_0_a]	WorldLocX=-25351	WorldLocY=37416	Width=64	Height=64	DescOffsetX=7	DescOffsetY=41	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=30	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-15559	WorldLocY=77384	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=31	IconTexNormal=[L2WorldMap.WorldIcon.19_21_castle]	IconTexOver=[L2WorldMap.WorldIcon.19_21_castle_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_21_castle_a]	WorldLocX=-23753	WorldLocY=102963	Width=64	Height=64	DescOffsetX=-1	DescOffsetY=20	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=32	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-24952	WorldLocY=120549	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=33	IconTexNormal=[L2WorldMap.WorldIcon.19_22_0]	IconTexOver=[L2WorldMap.WorldIcon.19_22_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_22_0_a]	WorldLocX=-23553	WorldLocY=135338	Width=64	Height=56	DescOffsetX=-2	DescOffsetY=36	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=35	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-25351	WorldLocY=186097	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=36	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=3825	WorldLocY=-136245	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=37	IconTexNormal=[L2WorldMap.WorldIcon.20_14_C0]	IconTexOver=[L2WorldMap.WorldIcon.20_14_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.20_14_C0_a]	WorldLocX=11819	WorldLocY=-118060	Width=59	Height=58	DescOffsetX=-29	DescOffsetY=27	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=38	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-5167	WorldLocY=15234	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;4}	MinimapRegion_end
MinimapRegion_begin	regionid=39	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=24409	WorldLocY=9838	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=40	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-25951	WorldLocY=17632	Width=48	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=42	IconTexNormal=[L2WorldMap.WorldIcon.20_20_0]	IconTexOver=[L2WorldMap.WorldIcon.20_20_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.20_20_0_a]	WorldLocX=16815	WorldLocY=67792	Width=64	Height=46	DescOffsetX=-13	DescOffsetY=21	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=43	IconTexNormal=[L2WorldMap.WorldIcon.20_21_0]	IconTexOver=[L2WorldMap.WorldIcon.20_21_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.20_21_0_a]	WorldLocX=12019	WorldLocY=96768	Width=64	Height=104	DescOffsetX=2	DescOffsetY=69	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=44	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=6024	WorldLocY=120749	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=45	IconTexNormal=[L2WorldMap.WorldIcon.19_21_castle]	IconTexOver=[L2WorldMap.WorldIcon.19_21_castle_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_21_castle_a]	WorldLocX=20812	WorldLocY=151325	Width=64	Height=64	DescOffsetX=10	DescOffsetY=25	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=46	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=6024	WorldLocY=146529	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=47	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=16016	WorldLocY=165513	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;1;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=48	IconTexNormal=[L2WorldMap.WorldIcon.20_23_C0]	IconTexOver=[L2WorldMap.WorldIcon.20_23_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.20_23_C0_a]	WorldLocX=5024	WorldLocY=176305	Width=64	Height=46	DescOffsetX=-8	DescOffsetY=37	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=50	IconTexNormal=[L2WorldMap.WorldIcon.21_18_0]	IconTexOver=[L2WorldMap.WorldIcon.21_18_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.21_18_0_a]	WorldLocX=48190	WorldLocY=12236	Width=55	Height=64	DescOffsetX=-5	DescOffsetY=40	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=51	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=22211	WorldLocY=46209	Width=48	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={0;2;3;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=52	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=38198	WorldLocY=35617	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=53	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=37598	WorldLocY=50605	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;4}	MinimapRegion_end
MinimapRegion_begin	regionid=54	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=38997	WorldLocY=76784	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=55	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=40796	WorldLocY=119950	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=56	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=38797	WorldLocY=150525	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;4}	MinimapRegion_end
MinimapRegion_begin	regionid=57	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=42395	WorldLocY=187496	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=58	IconTexNormal=[L2WorldMap.WorldIcon.22_17_0]	IconTexOver=[L2WorldMap.WorldIcon.22_17_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.22_17_0_a]	WorldLocX=76167	WorldLocY=-22736	Width=0	Height=0	DescOffsetX=1201	DescOffsetY=1232	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=60	IconTexNormal=[L2WorldMap.WorldIcon.22_18_0]	IconTexOver=[L2WorldMap.WorldIcon.22_18_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.22_18_0_a]	WorldLocX=79365	WorldLocY=-354	Width=64	Height=116	DescOffsetX=8	DescOffsetY=75	DescFontName=[MapFontSize10]	applycountry={0;2;3;1;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=61	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=91555	WorldLocY=3443	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=62	IconTexNormal=[L2WorldMap.WorldIcon.19_21_castle]	IconTexOver=[L2WorldMap.WorldIcon.19_21_castle_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_21_castle_a]	WorldLocX=75968	WorldLocY=29422	Width=64	Height=64	DescOffsetX=10	DescOffsetY=27	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=63	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=72970	WorldLocY=53403	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=64	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=78965	WorldLocY=77184	Width=70	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=65	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=62578	WorldLocY=117951	Width=70	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=66	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=83961	WorldLocY=112955	Width=80	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=150	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=109940	WorldLocY=112955	Width=80	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=67	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=73570	WorldLocY=129342	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=68	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=74968	WorldLocY=143531	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;4}	MinimapRegion_end
MinimapRegion_begin	regionid=69	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=66575	WorldLocY=138135	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=70	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=109940	WorldLocY=-186205	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;1;9;12;14;4}	MinimapRegion_end
MinimapRegion_begin	regionid=71	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=100948	WorldLocY=-178212	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=73	IconTexNormal=[L2WorldMap.WorldIcon.23_18_0]	IconTexOver=[L2WorldMap.WorldIcon.23_18_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.23_18_0_a]	WorldLocX=108941	WorldLocY=7840	Width=0	Height=0	DescOffsetX=1369	DescOffsetY=1385	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=77	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=100348	WorldLocY=107760	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=78	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=100348	WorldLocY=129142	Width=70	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;4}	MinimapRegion_end
MinimapRegion_begin	regionid=79	IconTexNormal=[L2WorldMap.WorldIcon.19_21_castle]	IconTexOver=[L2WorldMap.WorldIcon.19_21_castle_a]	IconTexPushed=[L2WorldMap.WorldIcon.19_21_castle_a]	WorldLocX=110140	WorldLocY=137736	Width=64	Height=64	DescOffsetX=1	DescOffsetY=35	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=80	IconTexNormal=[L2WorldMap.WorldIcon.23_23_0]	IconTexOver=[L2WorldMap.WorldIcon.23_23_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.23_23_0_a]	WorldLocX=113138	WorldLocY=168511	Width=64	Height=52	DescOffsetX=-1	DescOffsetY=41	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=82	IconTexNormal=[L2WorldMap.WorldIcon.24_18_0]	IconTexOver=[L2WorldMap.WorldIcon.24_18_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.24_18_0_a]	WorldLocX=142115	WorldLocY=-6349	Width=64	Height=94	DescOffsetX=10	DescOffsetY=50	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=83	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=141515	WorldLocY=23627	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=84	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=133522	WorldLocY=12036	Width=58	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;9;12;14;4}	MinimapRegion_end
