dyepotential_exp_begin	slotone={31081;1}	slottwo={31087;1}	commission=400000	prob=1.35022E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30866;1}	slottwo={31087;1}	commission=400000	prob=1.3509E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96404	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30869;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30870;1}	slottwo={31094;1}	commission=600000	prob=1.35095E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96408	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30873;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30874;1}	slottwo={31094;1}	commission=600000	prob=1.351E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96412	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30877;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31084;1}	slottwo={31087;1}	commission=400000	prob=1.35106E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96416	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30881;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30882;1}	slottwo={31087;1}	commission=400000	prob=1.35112E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96420	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30885;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30886;1}	slottwo={31087;1}	commission=400000	prob=1.35117E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96424	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30889;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30890;1}	slottwo={31094;1}	commission=600000	prob=1.35123E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96428	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30893;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30894;1}	slottwo={31094;1}	commission=600000	prob=1.35129E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96432	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30897;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31085;1}	slottwo={31087;1}	commission=400000	prob=1.35134E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96436	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30901;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30902;1}	slottwo={31087;1}	commission=400000	prob=1.3514E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96440	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30905;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30906;1}	slottwo={31087;1}	commission=400000	prob=1.35145E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96444	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30909;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30910;1}	slottwo={31094;1}	commission=600000	prob=1.35151E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96448	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30913;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30914;1}	slottwo={31094;1}	commission=600000	prob=1.35157E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96452	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30917;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31086;1}	slottwo={31087;1}	commission=400000	prob=1.35162E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96456	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30921;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30922;1}	slottwo={31087;1}	commission=400000	prob=1.35168E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96460	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30925;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30926;1}	slottwo={31087;1}	commission=400000	prob=1.35173E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96464	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30929;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30930;1}	slottwo={31094;1}	commission=600000	prob=1.35179E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96468	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30933;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30934;1}	slottwo={31094;1}	commission=600000	prob=1.35185E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96472	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30937;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={32342;1}	slottwo={32446;1}	commission=0	prob=1.35049E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=100603	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35068;1}	commission=100724	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35069;1}	slottwo={35188;1}	commission=600000	prob=1.40979E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100607	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35072;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35073;1}	slottwo={35188;1}	commission=800000	prob=1.40985E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100611	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={30858;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35077;1}	slottwo={35188;1}	commission=600000	prob=1.4099E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={10176;9}	commission=100615	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35080;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35081;1}	slottwo={35188;1}	commission=800000	prob=1.40996E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100619	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35084;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35085;1}	slottwo={35188;1}	commission=800000	prob=1.35105E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=100623	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35088;1}	commission=100724	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35089;1}	slottwo={35188;1}	commission=600000	prob=1.41007E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100627	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35092;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35093;1}	slottwo={35188;1}	commission=800000	prob=1.41013E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100631	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={30898;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35097;1}	slottwo={35188;1}	commission=600000	prob=1.41018E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={10176;9}	commission=100635	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35100;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35101;1}	slottwo={35188;1}	commission=800000	prob=1.41024E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100639	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35104;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35105;1}	slottwo={35188;1}	commission=800000	prob=1.35161E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=100643	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35108;1}	commission=100724	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35109;1}	slottwo={35188;1}	commission=600000	prob=1.41035E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100647	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35112;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35113;1}	slottwo={35188;1}	commission=800000	prob=1.4104E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100651	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={30938;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35117;1}	slottwo={35188;1}	commission=600000	prob=1.41046E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={10176;9}	commission=100655	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35120;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35121;1}	slottwo={35188;1}	commission=800000	prob=1.41052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35188;1}	slottwo={13568;12}	commission=100659	prob=1.41144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={13568;12}	slottwo={35124;1}	commission=100724	prob=1.121039E-39	dyepotential_exp_end
dyepotential_exp_begin	slotone={35125;1}	slottwo={35188;1}	commission=800000	prob=1.35389E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96355	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30820;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30821;1}	slottwo={35186;1}	commission=400000	prob=1.35026E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96359	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30824;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30825;1}	slottwo={35186;1}	commission=400000	prob=1.35032E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96363	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30828;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30829;1}	slottwo={35187;1}	commission=600000	prob=1.35038E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96367	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30832;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30833;1}	slottwo={35187;1}	commission=600000	prob=1.35043E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96371	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30836;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30837;1}	slottwo={35187;1}	commission=600000	prob=1.3539E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96375	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30840;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30841;1}	slottwo={35186;1}	commission=400000	prob=1.35054E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96379	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30844;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30845;1}	slottwo={35186;1}	commission=400000	prob=1.3506E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96383	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30848;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30849;1}	slottwo={35187;1}	commission=600000	prob=1.35066E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96387	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30852;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30853;1}	slottwo={35187;1}	commission=600000	prob=1.35071E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96391	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30856;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30857;1}	slottwo={35187;1}	commission=600000	prob=1.35392E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96395	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30860;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30861;1}	slottwo={35186;1}	commission=400000	prob=1.35082E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96399	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30864;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30865;1}	slottwo={35186;1}	commission=400000	prob=1.35088E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96403	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30868;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30869;1}	slottwo={35187;1}	commission=600000	prob=1.35094E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96407	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30872;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30873;1}	slottwo={35187;1}	commission=600000	prob=1.35099E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96411	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30876;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30877;1}	slottwo={35187;1}	commission=600000	prob=1.35393E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96415	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30880;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30881;1}	slottwo={35186;1}	commission=400000	prob=1.3511E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96419	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30884;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30885;1}	slottwo={35186;1}	commission=400000	prob=1.35116E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96423	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30888;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30889;1}	slottwo={35187;1}	commission=600000	prob=1.35122E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96427	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30892;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30893;1}	slottwo={35187;1}	commission=600000	prob=1.35127E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96431	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30896;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30897;1}	slottwo={35187;1}	commission=600000	prob=1.35395E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96435	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30900;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30901;1}	slottwo={35186;1}	commission=400000	prob=1.35138E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96439	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30904;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30905;1}	slottwo={35186;1}	commission=400000	prob=1.35144E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96443	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30908;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30909;1}	slottwo={35187;1}	commission=600000	prob=1.3515E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96447	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30912;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30913;1}	slottwo={35187;1}	commission=600000	prob=1.35155E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96451	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30916;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30917;1}	slottwo={35187;1}	commission=600000	prob=1.35396E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96455	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30920;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30921;1}	slottwo={35186;1}	commission=400000	prob=1.35166E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96459	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30924;1}	commission=100722	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30925;1}	slottwo={35186;1}	commission=400000	prob=1.35172E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35186;1}	slottwo={6784;6}	commission=96463	prob=1.41142E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30928;1}	commission=100722	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30929;1}	slottwo={35187;1}	commission=600000	prob=1.35178E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96467	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30932;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30933;1}	slottwo={35187;1}	commission=600000	prob=1.35183E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=96471	prob=1.41143E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30936;1}	commission=100723	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30937;1}	slottwo={35187;1}	commission=600000	prob=1.35049E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={35187;1}	slottwo={10176;9}	commission=100603	prob=1.41146E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={35068;1}	commission=100725	prob=8.40779E-40	dyepotential_exp_end
