variation_option_begin	mineral_item_id=94185	item_group_name=0	option_description1=[Atk. Spd. +5 ~ +100\nCasting Spd. +5 ~ +100\nP. Skill Power +1% ~ +5%\nM. Skill Power +1% ~ +5%]	option_description2=[<font color="bbb58a">P. Atk. +10 ~ +220\nM. Atk. +10 ~ +270\nP. Critical Rate +10 ~ +50</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=5	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Melee Weapon Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">All received Critical Rate -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=4	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=4	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Skill Evasion +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="84aed8">Speed +1 ~ +5</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=6	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=6	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Bow/ Magic Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=3	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=3	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Received damage -1% ~ -5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">All received Critical Damage -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=7	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=7	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=5	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=5	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Melee Weapon Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">All received Critical Rate -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=4	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=4	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Skill Evasion +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="84aed8">Speed +1 ~ +5</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=93100	item_group_name=1	option_description1=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%\nItem skill: All received Critical Damage -1% ~ -7%\nItem skill: All received Critical Damage -1% ~ -7%</font>]	option_description2=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%</font>\n<font color="e16d6d">STR +1 ~ +2\nDEX +1 ~ +2\nCON +1 ~ +2\nINT +1 ~ +2\nWIT +1 ~ +2\nMEN +1 ~ +2</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=93122	item_group_name=1	option_description1=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%\nItem skill: All received Critical Damage -1% ~ -7%\nItem skill: All received Critical Damage -1% ~ -7%</font>]	option_description2=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%</font>\n<font color="e16d6d">STR +1 ~ +2\nDEX +1 ~ +2\nCON +1 ~ +2\nINT +1 ~ +2\nWIT +1 ~ +2\nMEN +1 ~ +2</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=97443	item_group_name=1	option_description1=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%\nItem skill: All received Critical Damage -1% ~ -7%\nItem skill: All received Critical Damage -1% ~ -7%</font>]	option_description2=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%</font>\n<font color="e16d6d">STR +1 ~ +2\nDEX +1 ~ +2\nCON +1 ~ +2\nINT +1 ~ +2\nWIT +1 ~ +2\nMEN +1 ~ +2</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=97448	item_group_name=1	option_description1=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%\nItem skill: All received Critical Damage -1% ~ -7%\nItem skill: All received Critical Damage -1% ~ -7%</font>]	option_description2=[<font color="bbb58a">Max MP +90 ~ +400\nMax HP +350 ~ +2000\nMax CP +140 ~ +800\nBow Resistance +0.5% ~ +3.5%\nDrain Resistance +2.5% ~ +10%\nHold Atk. Rate +0.5% ~ +5%\nShock Atk. Rate +0.5% ~ +5%\nSleep Atk. Rate +0.5% ~ +5%\nParalysis Atk. Rate +0.5% ~ +5%\nM. Def. +10 ~ +50\nP. Def. +10 ~ +50\nMP Recovery Rate +1 ~ +2.5\nHP Recovery Rate +1 ~ +2.5\nCP Recovery Rate +1 ~ +2.5\nReceived Healing +2.5% ~ +7.5%</font>\n<font color="e16d6d">STR +1 ~ +2\nDEX +1 ~ +2\nCON +1 ~ +2\nINT +1 ~ +2\nWIT +1 ~ +2\nMEN +1 ~ +2</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94303	item_group_name=8	option_description1=[<font color="bbb58a">Max HP +25 ~ +500\nMax MP +25 ~ +500\nMax CP +25 ~ +500\nP./ M. Accuracy +1 ~ +5</font>\n<font color="e16d6d">Soulshot/ Spiritshot damage +1% ~ +5%\nSkill Critical Damage +15 ~ +300\nReceived damage -1% ~ -10%</font>]	option_description2=[<font color="bbb58a">P. Def. +15 ~ +300\nM. Def. +15 ~ +300\nP./ M. Evasion +1 ~ +5</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>\n<font color="e16d6d">Triggered skill: Arcane Deliverance\nTriggered skill: Arcane Speed\nTriggered skill: Arcane Barrier\nTriggered skill: Arcane Immunity\nTriggered skill: Arcane Protection\nTriggered skill: Arcane Paralysis\nTriggered skill: Arcane Silence\nPassive skill: Arcane Critical Sense\nPassive skill: Arcane Power</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94304	item_group_name=8	option_description1=[<font color="bbb58a">Max HP +25 ~ +500\nMax MP +25 ~ +500\nMax CP +25 ~ +500\nP./ M. Accuracy +1 ~ +5</font>\n<font color="e16d6d">Soulshot/ Spiritshot damage +1% ~ +5%\nSkill Critical Damage +15 ~ +300\nReceived damage -1% ~ -10%</font>]	option_description2=[<font color="bbb58a">P. Def. +15 ~ +300\nM. Def. +15 ~ +300\nP./ M. Evasion +1 ~ +5</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>\n<font color="e16d6d">Triggered skill: Arcane Deliverance\nTriggered skill: Arcane Speed\nTriggered skill: Arcane Barrier\nTriggered skill: Arcane Immunity\nTriggered skill: Arcane Protection\nTriggered skill: Arcane Paralysis\nTriggered skill: Arcane Silence\nPassive skill: Arcane Critical Sense\nPassive skill: Arcane Power</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94303	item_group_name=9	option_description1=[<font color="bbb58a">Max HP +25 ~ +500\nMax MP +25 ~ +500\nMax CP +25 ~ +500\nP./ M. Accuracy +1 ~ +5</font>\n<font color="e16d6d">Soulshot/ Spiritshot damage +1% ~ +5%\nSkill Critical Damage +15 ~ +300\nReceived damage -1% ~ -10%</font>]	option_description2=[<font color="bbb58a">P. Def. +15 ~ +300\nM. Def. +15 ~ +300\nP./ M. Evasion +1 ~ +5</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>\n<font color="e16d6d">Triggered skill: Arcane Deliverance\nTriggered skill: Arcane Speed\nTriggered skill: Arcane Barrier\nTriggered skill: Arcane Immunity\nTriggered skill: Arcane Protection\nTriggered skill: Arcane Paralysis\nTriggered skill: Arcane Silence\nPassive skill: Arcane Critical Sense\nPassive skill: Arcane Power</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94304	item_group_name=9	option_description1=[<font color="bbb58a">Max HP +25 ~ +500\nMax MP +25 ~ +500\nMax CP +25 ~ +500\nP./ M. Accuracy +1 ~ +5</font>\n<font color="e16d6d">Soulshot/ Spiritshot damage +1% ~ +5%\nSkill Critical Damage +15 ~ +300\nReceived damage -1% ~ -10%</font>]	option_description2=[<font color="bbb58a">P. Def. +15 ~ +300\nM. Def. +15 ~ +300\nP./ M. Evasion +1 ~ +5</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>\n<font color="e16d6d">Triggered skill: Arcane Deliverance\nTriggered skill: Arcane Speed\nTriggered skill: Arcane Barrier\nTriggered skill: Arcane Immunity\nTriggered skill: Arcane Protection\nTriggered skill: Arcane Paralysis\nTriggered skill: Arcane Silence\nPassive skill: Arcane Critical Sense\nPassive skill: Arcane Power</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=10	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">M. Damage Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received P. Skill Critical Damage -5 ~ -100\nReceived M. Skill Critical Damage -5 ~ -100</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=11	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">M. Damage Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received P. Skill Critical Damage -5 ~ -100\nReceived M. Skill Critical Damage -5 ~ -100</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=12	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">M. Damage Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received P. Skill Critical Damage -5 ~ -100\nReceived M. Skill Critical Damage -5 ~ -100</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=13	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">M. Damage Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received P. Skill Critical Damage -5 ~ -100\nReceived M. Skill Critical Damage -5 ~ -100</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=14	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">Bow Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received damage -1% ~ -3%\nReceived Healing +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=15	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">Bow Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received damage -1% ~ -3%\nReceived Healing +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=16	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">Bow Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3</font>\n<font color="c170ca">Received damage -1% ~ -3%\nReceived Healing +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=17	option_description1=[<font color="bbb58a">P. Atk. +10 ~ +200\nM. Atk. +10 ~ +200\nP. Accuracy +1 ~ +3\nM. Accuracy +1 ~ +3</font>\n<font color="c170ca">Melee Weapon Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +50\nMax MP +5 ~ +50\nP. Evasion +1 ~ +3\nM. Evasion +1 ~ +3\n</font>\n<font color="c170ca">Received P. Skill Critical Rate -1% ~ -2%\nReceived M. Skill Critical Rate -1% ~ -2%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=18	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">M. Damage Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received P. Skill Critical Damage -10 ~ -300\nReceived M. Skill Critical Damage -10 ~ -300</font>\n<font color="e16d6d">Received Skill Critical Damage -10 ~ -300</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=19	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">M. Damage Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received P. Skill Critical Damage -10 ~ -300\nReceived M. Skill Critical Damage -10 ~ -300</font>\n<font color="e16d6d">Received Skill Critical Damage -10 ~ -300</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=20	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">M. Damage Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received P. Skill Critical Damage -10 ~ -300\nReceived M. Skill Critical Damage -10 ~ -300</font>\n<font color="e16d6d">Received Skill Critical Damage -10 ~ -300</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=21	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">M. Damage Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received P. Skill Critical Damage -10 ~ -300\nReceived M. Skill Critical Damage -10 ~ -300</font>\n<font color="e16d6d">Received Skill Critical Damage -10 ~ -300</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=22	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">Bow Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received damage -2% ~ -5%\nReceived Healing +2% ~ +10%\nHP/ MP Recovery Rate +1 ~ +5</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=23	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">Bow Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received damage -2% ~ -5%\nReceived Healing +2% ~ +10%\nHP/ MP Recovery Rate +1 ~ +5</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94423	item_group_name=24	option_description1=[<font color="bbb58a">P. Def. +10 ~ +200\nM. Def. +10 ~ +200\nP. Accuracy +1 ~ +5\nM. Accuracy +1 ~ +5</font>\n<font color="c170ca">Bow Resistance +2% ~ +10%</font>]	option_description2=[<font color="bbb58a">Max HP +5 ~ +100\nMax MP +5 ~ +100\nP. Evasion +1 ~ +5\nM. Evasion +1 ~ +5</font>\n<font color="c170ca">Received damage -2% ~ -5%\nReceived Healing +2% ~ +10%\nHP/ MP Recovery Rate +1 ~ +5</font>]	option_description3=[]	variation_option_end
